accx,accy,accz,gyrx,gyry,gyrz,magx,magy,magz,linaccx,linaccy,linaccz,rotx,roty,rotz,timestamp
-0.076614454,-0.019153614,10.208876,0.15271631,0.002443461,-0.1563815,-31.26,-1.5,-41.52,0.40222588,0.5650316,0.4333505,-0.029256,-0.106097,-0.652479,4.3255018344021E7
-0.24181437,-0.20590134,10.129868,-0.039095376,-0.004886922,-0.035430185,-26.4,2.22,-42.059998,0.23702596,0.37828386,0.35434186,-0.029256,-0.106097,-0.652479,10.671731999999999
-0.24420857,-0.25139117,10.127473,-0.18203785,-0.0012217305,0.065973446,-26.4,2.22,-42.059998,0.23223756,0.34237084,0.35194764,-0.029256,-0.106097,-0.652479,9.407191
-0.35194764,-0.21787235,10.081984,-0.2565634,-0.002443461,0.05497787,-20.46,5.4,-42.66,0.12449849,0.37588966,0.30645782,-0.029256,-0.106097,-0.652479,10.63727
-0.5482722,-0.36391866,10.000581,-0.25045475,-0.013439035,0.018325957,-15.36,9.179999,-43.68,-0.06943185,0.2777274,0.22984336,-0.029256,-0.106097,-0.652479,9.981693
-0.62967503,-0.31603462,10.022128,-0.21746802,-0.04153884,0.013439035,-10.44,12.66,-43.98,-0.15083471,0.32561144,0.25139117,-0.029256,-0.106097,-0.652479,10.355229
-0.59136784,-0.38307226,9.959879,-0.17715092,-0.07574729,-0.015882496,-10.38,13.2,-44.28,-0.11971009,0.2801216,0.18914193,-0.005332,0.0349,-0.410416,9.670384
-0.48123455,-0.59376204,9.888053,-0.12461651,-0.09407325,-0.059864793,-10.38,13.32,-43.8,-0.009576807,0.06943185,0.11731588,-0.005332,0.0349,-0.410416,10.047386000000001
-0.272939,-0.6823475,9.911995,-0.10629055,-0.09896017,-0.06719518,-10.0199995,13.679999,-43.14,0.18195933,-0.009576807,0.1412579,-0.005332,0.0349,-0.410416,9.976462000000001
-0.12928689,-0.6464345,9.880871,-0.118507855,-0.09285152,-0.05009095,-9.96,13.32,-42.54,0.32561144,0.023942016,0.110133275,-0.005332,0.0349,-0.410416,10.033614
-0.16519992,-0.7781156,9.703699,-0.08307768,-0.08674286,-0.04642576,-9.48,12.66,-42.0,0.2681506,-0.09816227,-0.06464344,-0.012265,0.033113,-0.401313,9.9975
-0.2777274,-0.7613561,9.607931,0.0036651916,-0.0720821,-0.05131268,-9.599999,12.9,-42.0,0.15562311,-0.08140286,-0.1604115,-0.012265,0.033113,-0.401313,10.052653999999999
-0.2681506,-0.7230489,9.706094,0.06719518,-0.065973446,-0.061086524,-10.08,12.78,-42.48,0.14844051,-0.050278235,-0.06464344,-0.012265,0.033113,-0.401313,9.991230999999999
-0.18914193,-0.49320555,9.730036,0.07696902,-0.06352998,-0.062308256,-10.32,13.139999,-42.36,0.22744916,0.17717093,-0.04070143,-0.012265,0.033113,-0.401313,10.652192999999999
-0.20590134,-0.50517654,9.801862,0.062308256,-0.058643065,-0.058643065,-10.32,13.559999,-42.66,0.19632454,0.14604631,0.02633622,-0.012265,0.033113,-0.401313,9.385538
-0.2753332,-0.59615624,9.816227,0.02687807,-0.04520403,-0.05375614,-10.38,12.84,-42.42,0.12689269,0.055066638,0.04070143,-0.012265,0.033113,-0.401313,12.865769
-0.35673606,-0.51235914,9.835381,0.03176499,-0.042760566,-0.052534413,-9.84,13.44,-42.96,0.031124622,0.12928689,0.059855044,-0.01369,0.031484,-0.393939,7.675614999999999
-0.40462008,-0.5793968,9.775525,0.047647487,-0.039095376,-0.04642576,-10.0199995,14.16,-43.68,-0.01436521,0.062249243,0.0,-0.01369,0.031484,-0.393939,9.587116
-0.4405331,-0.533907,9.8042555,0.07086037,-0.040317107,-0.05131268,-11.04,14.58,-44.64,-0.059855044,0.09816227,0.02873042,-0.01369,0.031484,-0.393939,10.004498
-0.50278234,-0.557849,9.816227,0.080634214,-0.043982297,-0.065973446,-11.5199995,15.059999,-45.42,-0.12210429,0.074220255,0.04070143,-0.01369,0.031484,-0.393939,10.040847000000001
-0.40701428,-0.7230489,9.720459,0.09040806,-0.040317107,-0.073303826,-11.7,14.5199995,-45.539997,-0.035913024,-0.10534488,-0.055066638,-0.017124,0.0318,-0.416039,9.991961
-0.33997664,-0.78529817,9.746795,0.118507855,-0.035430185,-0.07941248,-11.28,14.099999,-45.239998,0.02873042,-0.16759412,-0.02873042,-0.017124,0.0318,-0.416039,10.027501
-0.35673606,-0.61291564,9.811439,0.1282817,-0.029321533,-0.07819075,-11.28,13.74,-45.059998,0.0047884034,-0.016759412,0.031124622,-0.017124,0.0318,-0.416039,10.00877
-0.22505496,-0.50517654,9.964667,0.09285152,-0.02443461,-0.073303826,-10.92,14.04,-45.12,0.1364695,0.088585466,0.18435353,-0.017124,0.0318,-0.416039,10.046806999999998
-0.24181437,-0.60333884,9.871294,0.029321533,-0.013439035,-0.058643065,-11.219999,14.04,-44.46,0.11252748,-0.023942016,0.090979666,-0.017124,0.0318,-0.416039,9.997615
-0.40462008,-0.6440403,9.844957,0.002443461,-0.004886922,-0.04520403,-11.82,13.679999,-44.579998,-0.047884032,-0.06464344,0.06464344,-0.017124,0.0318,-0.416039,10.343616
-0.51475334,-0.6823475,9.883265,0.017104227,-0.0036651916,-0.05009095,-11.5199995,13.559999,-44.399998,-0.15801731,-0.10295067,0.10295067,-0.017544,0.033924,-0.433309,9.701538000000001
