accx,accy,accz,gyrx,gyry,gyrz,magx,magy,magz,linaccx,linaccy,linaccz,rotx,roty,rotz,timestamp
1.7669208,-1.5346833,9.334992,-0.3811799,-0.058643065,-0.2406809,-11.04,22.14,-35.46,0.18914193,0.4213795,-0.1388637,-0.101069,-0.041866,-0.268764,2120.029069
1.7669208,-1.5346833,9.334992,-0.38240165,-0.065973446,-0.20280726,-11.04,22.14,-35.46,0.18435353,0.46926352,-0.12928689,-0.101069,-0.041866,-0.268764,10.624616
1.5897499,-1.6208745,9.315839,-0.344528,-0.059864793,-0.20769419,-11.04,22.14,-35.46,0.007182605,0.38307226,-0.14844051,-0.101069,-0.041866,-0.268764,9.448153
3.9743748,-5.3965306,8.868123,-0.073303826,0.007330383,0.42760566,-11.639999,22.199999,-34.86,2.3894134,-3.3686419,-0.59136784,-0.101069,-0.041866,-0.268764,10.669191999999999
0.4165911,-0.7637503,8.781932,0.593761,0.07819075,0.37507126,-11.82,22.199999,-34.62,-1.1659763,1.2641385,-0.6775591,-0.101069,-0.041866,-0.268764,9.962693
0.9552865,-0.5554548,10.3692875,0.39706242,0.0061086523,-0.19547687,-11.94,22.32,-34.38,-0.5602432,1.3311762,0.8690952,-0.101069,-0.041866,-0.268764,10.03423
1.3192052,-0.94331545,10.103531,-0.12705997,-0.008552114,0.062308256,-11.82,22.08,-33.78,-0.19632454,0.94331545,0.60333884,-0.113361,-0.041054,-0.213615,9.985846
1.2761095,-2.0159178,9.677363,-0.26145032,-0.040317107,0.05009095,-11.28,21.66,-33.36,-0.19393034,-0.18435353,0.15801731,-0.113361,-0.041054,-0.213615,10.055769999999999
1.8387469,-2.4971523,9.339781,-0.10995574,-0.02687807,-0.035430185,-11.28,22.08,-33.78,0.36631286,-0.6655881,-0.17717093,-0.113361,-0.041054,-0.213615,10.306922
1.7118542,-2.15957,9.574412,0.04642576,-0.0061086523,0.04886922,-11.4,22.439999,-34.5,0.23702596,-0.3184288,0.05746084,-0.113361,-0.041054,-0.213615,9.715307000000001
1.3910311,-1.7286136,9.722853,0.010995574,-0.008552114,0.02321288,-11.4,23.279999,-35.52,-0.08140286,0.110133275,0.20590134,-0.113361,-0.041054,-0.213615,9.987001
1.5873557,-1.8722657,9.80665,-0.08307768,-0.02443461,-0.0012217305,-11.7,23.64,-35.7,0.11731588,-0.04309563,0.2873042,-0.113361,-0.041054,-0.213615,10.054846999999999
1.5969325,-2.0135236,9.713276,-0.09285152,-0.02321288,0.008552114,-11.7,23.1,-35.1,0.12689269,-0.18435353,0.19393034,-0.113259,-0.0473,-0.196442,9.969231
1.5705963,-2.1691468,9.519346,-0.03176499,-0.010995574,0.0,-11.58,22.02,-34.44,0.095768064,-0.32800564,0.0023942017,-0.113259,-0.0473,-0.196442,10.655845000000001
1.5705963,-2.2050598,9.519346,0.017104227,-0.0061086523,-0.008552114,-11.7,21.3,-33.84,0.095768064,-0.36391866,0.0023942017,-0.113259,-0.0473,-0.196442,9.37973
1.4796166,-2.1308396,9.7084875,0.02443461,-0.002443461,-0.015882496,-11.34,21.48,-33.6,0.0023942017,-0.29448682,0.19153613,-0.113259,-0.0473,-0.196442,11.689539999999997
1.496376,-1.9895816,9.643845,0.015882496,0.0,-0.017104227,-11.28,22.14,-34.32,0.019153614,-0.15322891,0.12689269,-0.112172,-0.049922,-0.187619,8.356999
1.4652514,-1.9416976,9.662998,-0.002443461,0.002443461,-0.014660766,-11.34,22.74,-34.68,-0.011971008,-0.107739076,0.14604631,-0.112172,-0.049922,-0.187619,10.027768000000002
1.5011644,-1.8722657,9.536105,-0.02443461,0.0,-0.012217305,-11.759999,23.4,-34.739998,0.021547815,-0.038307227,0.019153614,-0.112172,-0.049922,-0.187619,10.331309
1.5394717,-1.9536686,9.495404,-0.04886922,0.002443461,-0.014660766,-12.24,23.279999,-34.8,0.059855044,-0.11492168,-0.019153614,-0.112172,-0.049922,-0.187619,9.728038999999999
1.5011644,-1.958457,9.428367,-0.036651913,0.0061086523,-0.009773844,-12.719999,22.859999,-34.98,0.021547815,-0.11971009,-0.08619126,-0.112172,-0.049922,-0.187619,9.975038
1.4796166,-1.9776106,9.548077,0.002443461,0.007330383,0.0,-12.96,22.439999,-35.219997,0.0,-0.1316811,0.033518825,-0.112172,-0.049922,-0.187619,10.032001
1.4508862,-1.970428,9.619903,0.019547688,0.008552114,0.0036651916,-12.24,22.32,-35.52,-0.02873042,-0.12449849,0.10534488,-0.113497,-0.047834,-0.213903,9.979422999999999
1.4987702,-1.8028339,9.639056,0.012217305,0.004886922,0.010995574,-12.42,22.619999,-35.88,0.019153614,0.038307227,0.12449849,-0.113497,-0.047834,-0.213903,10.050115
1.5945383,-1.8052281,9.725247,-0.008552114,-0.0012217305,0.015882496,-12.48,22.5,-35.219997,0.11492168,0.035913024,0.21068975,-0.113497,-0.047834,-0.213903,9.962192
1.5658079,-1.8650831,9.672575,-0.039095376,-0.0061086523,0.019547688,-12.12,22.92,-34.5,0.08379706,-0.019153614,0.15801731,-0.113497,-0.047834,-0.213903,10.036346
1.6160861,-1.8842367,9.646238,-0.05009095,-0.009773844,0.03176499,-12.24,23.16,-34.86,0.1340753,-0.038307227,0.1316811,-0.111494,-0.053027,-0.195916,9.986576000000001
1.6208745,-1.8770541,9.715671,-0.039095376,-0.013439035,0.035430185,-12.12,23.039999,-34.739998,0.1364695,-0.019153614,0.20350714,-0.111494,-0.053027,-0.195916,10.053922
1.6496049,-1.982399,9.653421,-0.013439035,-0.012217305,0.037873644,-12.36,23.64,-35.34,0.16519992,-0.12449849,0.1412579,-0.111494,-0.053027,-0.195916,10.299385
1.6280571,-1.9488802,9.682152,0.012217305,-0.013439035,0.04520403,-12.42,23.939999,-36.66,0.1388637,-0.088585466,0.17238252,-0.111494,-0.053027,-0.195916,10.315654
1.5682021,-1.8195933,9.713276,0.02565634,-0.017104227,0.04520403,-12.54,23.64,-36.059998,0.079008654,0.038307227,0.20350714,-0.111494,-0.053027,-0.195916,9.380615
1.6065093,-1.8315643,9.742006,0.012217305,-0.02076942,0.04520403,-12.96,23.279999,-36.54,0.11492168,0.023942016,0.23223756,-0.111494,-0.053027,-0.195916,12.533192999999999
1.5227122,-1.8243817,9.622296,-0.008552114,-0.021991149,0.05375614,-12.84,22.859999,-36.36,0.031124622,0.031124622,0.11252748,-0.112509,-0.051169,-0.213957,7.747231
1.553837,-1.7788919,9.605537,-0.015882496,-0.021991149,0.056199603,-13.259999,22.98,-35.82,0.05746084,0.079008654,0.095768064,-0.112509,-0.051169,-0.213957,9.783462
1.5586253,-1.8626889,9.572019,-0.029321533,-0.02076942,0.058643065,-12.9,22.74,-35.52,0.062249243,-0.0023942017,0.062249243,-0.112509,-0.051169,-0.213957,9.998654999999998
1.6160861,-1.8650831,9.56723,-0.02443461,-0.018325957,0.061086524,-12.059999,23.039999,-34.559998,0.11492168,0.0,0.059855044,-0.112509,-0.051169,-0.213957,10.041884
1.5586253,-1.9153614,9.533711,-0.012217305,-0.018325957,0.065973446,-11.88,23.58,-34.86,0.05746084,-0.047884032,0.02633622,-0.112893,-0.051774,-0.209886,9.982808
1.5969325,-1.9033904,9.600749,-0.009773844,-0.018325957,0.064751714,-11.759999,24.119999,-34.68,0.093373865,-0.031124622,0.095768064,-0.112893,-0.051774,-0.209886,10.019577
1.5753847,-1.8794483,9.651027,-0.0036651916,-0.015882496,0.06719518,-12.12,24.72,-34.86,0.07182605,-0.007182605,0.14604631,-0.112893,-0.051774,-0.209886,10.32623
1.5777789,-1.9800048,9.634268,0.0,-0.012217305,0.06841691,-12.179999,24.48,-35.219997,0.06943185,-0.10534488,0.12928689,-0.112893,-0.051774,-0.209886,9.714345000000002
1.6017209,-1.8914193,9.5385,0.0012217305,-0.014660766,0.06963864,-12.66,24.0,-34.98,0.093373865,-0.016759412,0.033518825,-0.112893,-0.051774,-0.209886,9.982654
1.6208745,-1.9800048,9.653421,-0.010995574,-0.019547688,0.073303826,-12.24,23.46,-34.559998,0.110133275,-0.10295067,0.14844051,-0.112893,-0.051774,-0.209886,10.025768999999999
1.5993267,-1.9608512,9.583989,-0.02321288,-0.028099801,0.06963864,-12.12,23.039999,-34.44,0.088585466,-0.08379706,0.079008654,-0.113265,-0.052229,-0.208025,10.000422
1.6663644,-2.0757728,9.560047,-0.021991149,-0.03176499,0.07086037,-12.12,23.16,-34.44,0.15083471,-0.19393034,0.05746084,-0.113265,-0.052229,-0.208025,10.051077
1.6519991,-2.0638018,9.557653,-0.017104227,-0.030543262,0.0720821,-11.46,22.619999,-33.84,0.1364695,-0.18195933,0.055066638,-0.113265,-0.052229,-0.208025,9.984846
1.733402,-2.0159178,9.509769,-0.004886922,-0.030543262,0.0720821,-11.4,22.26,-33.96,0.21068975,-0.12689269,0.009576807,-0.113265,-0.052229,-0.208025,10.628155
1.6950948,-2.0350714,9.500193,0.0036651916,-0.028099801,0.0720821,-11.7,22.619999,-34.62,0.17238252,-0.14604631,0.0,-0.113629,-0.053112,-0.205412,9.387231
1.6328455,-2.0757728,9.524135,0.0,-0.030543262,0.06841691,-11.639999,22.98,-34.68,0.10295067,-0.18435353,0.02633622,-0.113629,-0.053112,-0.205412,11.622269
1.6783354,-2.0733786,9.52174,0.0012217305,-0.03176499,0.07086037,-11.88,23.82,-35.46,0.14844051,-0.18195933,0.023942016,-0.113629,-0.053112,-0.205412,8.755423
1.6903064,-1.9991584,9.581595,-0.008552114,-0.030543262,0.07086037,-12.36,24.24,-36.059998,0.15083471,-0.10295067,0.08619126,-0.113629,-0.053112,-0.205412,9.697807999999998
1.6759412,-2.0925324,9.526528,-0.021991149,-0.032986723,0.06841691,-12.12,23.88,-35.399998,0.1364695,-0.19632454,0.031124622,-0.113629,-0.053112,-0.205412,9.997346
1.6448165,-2.0805612,9.569624,-0.030543262,-0.030543262,0.06963864,-12.12,24.18,-35.76,0.095768064,-0.17238252,0.079008654,-0.113629,-0.053112,-0.205412,10.032846
1.5705963,-2.2002714,9.600749,-0.02565634,-0.03176499,0.0720821,-12.3,23.699999,-35.46,0.021547815,-0.29209262,0.110133275,-0.114597,-0.053792,-0.203512,9.97977
1.5993267,-2.147599,9.648633,-0.02321288,-0.035430185,0.06719518,-12.059999,23.64,-34.98,0.04070143,-0.22505496,0.1604115,-0.114597,-0.053792,-0.203512,10.031808
1.6472107,-2.1787236,9.55047,-0.010995574,-0.037873644,0.06841691,-12.24,23.76,-35.7,0.088585466,-0.25617957,0.062249243,-0.114597,-0.053792,-0.203512,9.999153999999999
1.6256629,-2.1547816,9.615114,-0.007330383,-0.035430185,0.06963864,-12.78,23.34,-35.76,0.05746084,-0.22026655,0.1316811,-0.114597,-0.053792,-0.203512,10.039575000000001
1.6065093,-2.1045034,9.598354,-0.015882496,-0.035430185,0.06352998,-12.54,23.58,-35.82,0.038307227,-0.16998832,0.11492168,-0.115478,-0.054508,-0.201829,9.980269
1.5729905,-2.0709844,9.588778,-0.02687807,-0.034208454,0.062308256,-12.48,23.1,-34.739998,0.0,-0.12449849,0.110133275,-0.115478,-0.054508,-0.201829,10.014346999999999
1.5490485,-2.135628,9.552865,-0.040317107,-0.034208454,0.059864793,-12.24,23.699999,-34.44,-0.023942016,-0.18914193,0.074220255,-0.115478,-0.054508,-0.201829,10.335347
1.5275006,-2.1619642,9.605537,-0.05131268,-0.036651913,0.05375614,-12.179999,24.0,-34.14,-0.05267244,-0.19871874,0.1316811,-0.115478,-0.054508,-0.201829,9.703423
1.5562311,-2.147599,9.519346,-0.04520403,-0.035430185,0.05131268,-12.66,24.119999,-34.26,-0.023942016,-0.18435353,0.045489833,-0.115478,-0.054508,-0.201829,9.976769
1.5107412,-2.111686,9.576807,-0.039095376,-0.03176499,0.04642576,-12.78,24.9,-35.46,-0.074220255,-0.1316811,0.10534488,-0.115478,-0.054508,-0.201829,10.625193
1.4891934,-2.0925324,9.509769,-0.035430185,-0.029321533,0.04642576,-12.54,24.24,-34.44,-0.095768064,-0.11252748,0.038307227,-0.116868,-0.055036,-0.200154,9.388192
1.4891934,-2.0925324,9.509769,-0.035430185,-0.02565634,0.047647487,-12.179999,24.24,-34.5,-0.10055647,-0.10055647,0.04309563,-0.116868,-0.055036,-0.200154,12.465384
1.508347,-2.0757728,9.533711,-0.042760566,-0.021991149,0.04520403,-11.58,24.24,-33.84,-0.08140286,-0.08379706,0.06703765,-0.116868,-0.055036,-0.200154,7.704538
1.5586253,-2.0614076,9.528923,-0.04886922,-0.018325957,0.043982297,-11.58,23.64,-33.6,-0.033518825,-0.055066638,0.06464344,-0.116868,-0.055036,-0.200154,9.895192999999999
1.5562311,-2.147599,9.631873,-0.052534413,-0.014660766,0.04642576,-11.46,23.34,-33.719997,-0.035913024,-0.1412579,0.16759412,-0.116868,-0.055036,-0.200154,10.004615
1.5442601,-2.2122424,9.622296,-0.05375614,-0.010995574,0.043982297,-11.34,22.38,-32.94,-0.047884032,-0.19153613,0.1604115,-0.116868,-0.055036,-0.200154,10.043767
1.5945383,-2.15957,9.593566,-0.04153884,-0.008552114,0.043982297,-10.98,21.96,-31.92,0.0,-0.1388637,0.1316811,-0.11811,-0.055081,-0.198947,10.313693999999998
1.5586253,-2.1188686,9.6845455,-0.028099801,-0.010995574,0.04520403,-10.98,21.66,-31.619999,-0.031124622,-0.08619126,0.22505496,-0.11811,-0.055081,-0.198947,9.69673
1.5394717,-2.1404164,9.610326,-0.034208454,-0.012217305,0.04153884,-11.219999,21.779999,-31.98,-0.050278235,-0.107739076,0.15083471,-0.11811,-0.055081,-0.198947,10.003807
1.5059528,-2.0685902,9.583989,-0.04153884,-0.018325957,0.042760566,-11.219999,21.48,-32.34,-0.08379706,-0.02633622,0.12689269,-0.11811,-0.055081,-0.198947,10.041808999999999
1.4389153,-2.0685902,9.595961,-0.04886922,-0.021991149,0.04153884,-11.46,21.6,-32.94,-0.15083471,-0.02633622,0.1388637,-0.119204,-0.055257,-0.197675,9.988999999999999
1.472434,-2.0925324,9.56723,-0.037873644,-0.02565634,0.043982297,-11.04,21.9,-32.94,-0.11731588,-0.038307227,0.11252748,-0.119204,-0.055257,-0.197675,10.024422999999999
1.4987702,-2.1140802,9.560047,-0.028099801,-0.028099801,0.040317107,-11.099999,21.539999,-32.52,-0.090979666,-0.059855044,0.10534488,-0.119204,-0.055257,-0.197675,10.026807
1.4580688,-2.1140802,9.557653,-0.018325957,-0.029321533,0.043982297,-11.04,22.38,-32.46,-0.1316811,-0.05267244,0.10534488,-0.119204,-0.055257,-0.197675,10.039769
1.5179238,-2.042254,9.545682,-0.02321288,-0.029321533,0.052534413,-10.26,22.26,-32.64,-0.07182605,0.016759412,0.093373865,-0.119204,-0.055257,-0.197675,9.993846000000001
1.5897499,-2.0159178,9.483433,-0.04520403,-0.030543262,0.05375614,-10.92,22.26,-32.94,0.0,0.050278235,0.033518825,-0.119204,-0.055257,-0.197675,10.636384999999999
1.4915876,-2.006341,9.552865,-0.06963864,-0.032986723,0.056199603,-10.8,22.859999,-33.239998,-0.09816227,0.059855044,0.10295067,-0.120204,-0.05586,-0.194612,9.852115000000001
1.4460979,-2.0973208,9.52174,-0.06841691,-0.036651913,0.062308256,-11.099999,22.74,-33.239998,-0.1436521,-0.016759412,0.074220255,-0.120204,-0.05586,-0.194612,11.239423999999998
1.388637,-2.1499932,9.545682,-0.039095376,-0.037873644,0.06963864,-11.82,22.74,-33.48,-0.20111294,-0.06943185,0.09816227,-0.120204,-0.05586,-0.194612,8.367462999999999
1.4293385,-2.1499932,9.583989,-0.013439035,-0.043982297,0.07696902,-11.5199995,22.56,-33.36,-0.15562311,-0.059855044,0.1364695,-0.120204,-0.05586,-0.194612,10.04423
1.3934253,-2.1739352,9.667787,-0.010995574,-0.05131268,0.080634214,-11.5199995,22.439999,-33.42,-0.19153613,-0.08379706,0.22026655,-0.121049,-0.056569,-0.191817,9.991268999999999
1.4173675,-2.0805612,9.773131,-0.032986723,-0.064751714,0.08307768,-10.92,22.619999,-33.54,-0.16280572,0.009576807,0.32561144,-0.121049,-0.056569,-0.191817,10.063808
1.4149733,-2.0566192,9.710882,-0.07086037,-0.07696902,0.087964594,-11.16,23.16,-33.78,-0.16519992,0.033518825,0.2633622,-0.121049,-0.056569,-0.191817,9.974692999999998
1.4508862,-2.1452048,9.581595,-0.09285152,-0.08552113,0.095294975,-10.74,23.22,-33.42,-0.12449849,-0.04070143,0.1364695,-0.121049,-0.056569,-0.191817,10.037230000000001
1.520318,-2.15957,9.514558,-0.1001819,-0.089186326,0.09896017,-10.679999,23.16,-33.66,-0.055066638,-0.055066638,0.06943185,-0.121049,-0.056569,-0.191817,9.991999999999999
1.5586253,-2.1978772,9.459491,-0.09285152,-0.087964594,0.10629055,-11.28,22.859999,-33.36,-0.016759412,-0.076614454,0.016759412,-0.121049,-0.056569,-0.191817,10.063692
1.5562311,-2.2002714,9.399636,-0.09773844,-0.08552113,0.10629055,-10.74,22.32,-33.36,-0.019153614,-0.079008654,-0.04070143,-0.12355,-0.057792,-0.188495,10.300038999999998
1.6543933,-2.1380222,9.435549,-0.096516706,-0.081855945,0.112399206,-11.04,22.32,-33.6,0.074220255,0.0,0.0,-0.12355,-0.057792,-0.188495,9.719422999999999
1.5370775,-2.1499932,9.473856,-0.10140363,-0.07696902,0.112399206,-11.219999,21.72,-32.94,-0.04070143,-0.011971008,0.035913024,-0.12355,-0.057792,-0.188495,9.992462
1.5466543,-2.2146366,9.442732,-0.09407325,-0.073303826,0.1160644,-10.98,22.199999,-32.94,-0.031124622,-0.059855044,0.009576807,-0.12355,-0.057792,-0.188495,10.067999
1.6639702,-2.099715,9.483433,-0.09285152,-0.07452556,0.119729586,-11.4,22.26,-32.34,0.08379706,0.05267244,0.050278235,-0.126089,-0.058751,-0.185402,9.977037000000001
1.673547,-2.2266076,9.495404,-0.09162979,-0.073303826,0.118507855,-10.86,22.5,-31.679998,0.088585466,-0.05746084,0.06703765,-0.126089,-0.058751,-0.185402,10.659038999999998
1.5945383,-2.2337902,9.540894,-0.09285152,-0.06963864,0.11484267,-10.86,22.859999,-32.16,0.009576807,-0.06464344,0.11252748,-0.126089,-0.058751,-0.185402,9.393731
1.6280571,-2.2242134,9.526528,-0.087964594,-0.07574729,0.118507855,-10.8,22.14,-31.5,0.038307227,-0.038307227,0.10055647,-0.126089,-0.058751,-0.185402,12.554885999999998
1.7238252,-2.1859062,9.536105,-0.095294975,-0.073303826,0.11728613,-10.86,21.9,-31.38,0.1340753,0.0,0.110133275,-0.126089,-0.058751,-0.185402,7.657229999999999
1.697489,-2.111686,9.562442,-0.10751228,-0.07086037,0.11728613,-11.58,22.32,-32.16,0.10295067,0.08619126,0.1412579,-0.126089,-0.058751,-0.185402,9.913692999999999
1.7190368,-2.171541,9.500193,-0.10995574,-0.065973446,0.12217305,-11.639999,22.92,-32.46,0.12449849,0.02633622,0.079008654,-0.128512,-0.059648,-0.18245,10.343114000000002
1.661576,-2.1499932,9.457097,-0.111177474,-0.061086524,0.119729586,-11.4,23.64,-33.18,0.059855044,0.06464344,0.04070143,-0.128512,-0.059648,-0.18245,9.738307999999998
1.7046716,-2.2385786,9.514558,-0.12583824,-0.057421334,0.118507855,-11.4,24.779999,-34.079998,0.10295067,-0.021547815,0.09816227,-0.128512,-0.059648,-0.18245,10.002462
1.7262194,-2.1619642,9.442732,-0.13439035,-0.05497787,0.11362094,-11.04,25.08,-34.44,0.11731588,0.06943185,0.033518825,-0.128512,-0.059648,-0.18245,10.036075
1.9177556,-2.207454,9.497798,-0.1160644,-0.04886922,0.10995574,-11.7,24.779999,-33.96,0.30885202,0.023942016,0.088585466,-0.130874,-0.060323,-0.179922,10.017769
1.8459295,-2.303222,9.516952,-0.087964594,-0.039095376,0.1001819,-12.54,24.66,-33.899998,0.22984336,-0.055066638,0.11252748,-0.130874,-0.060323,-0.179922,10.049653
1.7262194,-2.3008277,9.557653,-0.052534413,-0.03176499,0.080634214,-12.599999,24.84,-33.84,0.110133275,-0.05267244,0.15322891,-0.130874,-0.060323,-0.179922,9.990269999999999
1.6472107,-2.2984335,9.564836,-0.017104227,-0.02687807,0.065973446,-13.139999,24.66,-33.84,0.023942016,-0.045489833,0.16280572,-0.130874,-0.060323,-0.179922,10.031424
