accx,accy,accz,gyrx,gyry,gyrz
1.1348516,-5.00867,5.5880666,0.0012217305,-0.1563815,0.19058995
1.5011644,-4.6016555,6.397307,-0.03176499,-0.15393804,0.17104226
1.1707647,-2.4971523,6.9982514,-0.057421334,-0.14049901,0.15760323
0.47884035,-1.3670892,6.4547677,-0.04642576,-0.12461651,0.14049901
0.059855044,-1.6256629,5.3127337,-0.008552114,-0.10751228,0.1282817
0.23463176,-2.2888567,3.7086184,0.02321288,-0.08307768,0.112399206
0.581791,-2.6384103,2.231396,0.037873644,-0.073303826,0.1001819
0.47165772,-3.0358477,1.3359646,0.0720821,-0.06352998,0.07574729
0.17477672,-3.3446999,0.7541735,0.08674286,-0.058643065,0.07086037
0.062249243,-3.3901896,0.011971008,0.1001819,-0.047647487,0.06719518
-0.21547815,-3.2752678,-0.39504328,0.07819075,-0.036651913,0.065973446
-0.35194764,-3.2345665,-0.14604631,0.040317107,-0.040317107,0.061086524
-0.6703765,-3.071761,0.15562311,0.014660766,-0.042760566,0.056199603
-0.8738836,-2.9712043,0.49081135,0.02321288,-0.036651913,0.059864793
-1.2641385,-3.3686419,1.0247183,0.05009095,-0.019547688,0.073303826
-1.4700398,-4.285621,2.099715,0.081855945,-0.018325957,0.08307768
-1.2378023,-5.446809,3.0119057,0.103847094,-0.02321288,0.081855945
-1.1348516,-6.4523735,3.6894648,0.119729586,-0.02443461,0.0842994
-1.055843,-7.261614,4.3143516,0.12705997,-0.02443461,0.089186326
-1.3575124,-7.357382,4.699818,0.12095132,-0.018325957,0.09896017
-1.5131354,-7.275979,5.4922986,0.10262536,-0.021991149,0.10751228
-1.6184803,-6.6750345,6.205771,0.089186326,-0.021991149,0.11484267
-1.922544,-6.9120603,6.6486983,0.087964594,-0.02076942,0.11728613
-2.1380222,-7.529764,6.646304,0.0842994,-0.015882496,0.12583824
-2.3774424,-7.8266454,5.9759274,0.064751714,-0.02443461,0.12583824
-2.5187001,-7.896077,5.6359506,0.04520403,-0.03176499,0.11484267
-2.5378537,-8.128315,5.9759274,0.034208454,-0.036651913,0.11484267
-2.6360161,-8.204929,6.9264255,0.007330383,-0.04642576,0.11362094
-3.1148565,-8.030152,7.7069354,-0.013439035,-0.05009095,0.10629055
-4.024653,-8.683769,8.760384,-0.014660766,-0.05497787,0.09040806
-4.3861775,-9.275137,9.952697,0.007330383,-0.05009095,0.06719518
-4.8099513,-8.494628,10.412383,0.021991149,-0.030543262,0.064751714
-4.9919105,-7.6590514,10.029311,0.0,-0.02565634,0.061086524
-4.7381253,-6.9838862,9.528923,-0.04520403,-0.018325957,0.04886922
-4.8745947,-6.727707,9.425972,-0.081855945,-0.012217305,0.043982297
-4.9895163,-6.5146227,9.414001,-0.095294975,-0.004886922,0.042760566
-5.317522,-6.4308257,9.888053,-0.08552113,0.012217305,0.04153884
-5.470751,-6.612785,9.991004,-0.07574729,0.02443461,0.042760566
-5.729325,-7.6590514,10.237606,-0.09162979,0.039095376,0.028099801
