accx,accy,accz,gyrx,gyry,gyrz,magx,magy,magz,linaccx,linaccy,linaccz,rotx,roty,rotz,timestamp
1.0247183,-2.255338,9.629479,-0.21013765,-0.12583824,-0.12705997,48.539997,19.74,1.38,-0.3878607,0.1364695,0.22744916,-0.405895,0.405786,0.339321,0.0115
1.2138603,-2.303222,9.64145,-0.19181168,-0.14660765,-0.13805555,48.539997,19.74,1.38,-0.19871874,0.088585466,0.23942018,-0.405895,0.405786,0.339321,7.346192
1.067814,-2.372654,9.428367,-0.14538592,-0.16493362,-0.118507855,48.539997,19.74,1.38,-0.34955344,0.047884032,0.033518825,-0.405895,0.405786,0.339321,10.702462
1.3096284,-2.3223755,9.495404,0.02076942,-0.23823744,-0.059864793,48.539997,19.74,1.38,-0.107739076,0.09816227,0.10055647,-0.405895,0.405786,0.339321,9.438039
1.5107412,-2.3822308,9.461885,0.28344148,-0.15882497,-0.087964594,20.4,27.0,-12.54,0.08140286,0.047884032,0.07182605,-0.405895,0.405786,0.339321,10.676924
1.910573,-2.8538885,9.856929,0.061086524,-0.06841691,0.08552113,5.94,30.66,-19.92,0.48123455,-0.4213795,0.46686932,-0.405895,0.405786,0.339321,10.027308000000001
2.2649148,-1.067814,9.725247,-0.105068825,-0.09162979,-0.02076942,-9.54,35.1,-27.599998,0.80684596,1.3072342,0.32561144,-0.078101,-0.082912,0.338042,10.091037
0.9816227,-1.9416976,9.363723,-0.021991149,-0.0842994,0.04642576,-9.599999,35.16,-27.24,-0.47405192,0.4333505,-0.033518825,-0.078101,-0.082912,0.338042,10.016653
1.388637,-2.5091233,9.062054,0.07941248,-0.062308256,0.09162979,-9.9,34.86,-26.88,-0.062249243,-0.11971009,-0.33279404,-0.078101,-0.082912,0.338042,10.071346000000002
1.6328455,-2.111686,9.083601,0.080634214,-0.05009095,0.05375614,-9.9,35.04,-26.82,0.17956513,0.2753332,-0.31124622,-0.078101,-0.082912,0.338042,10.033539000000001
1.7238252,-1.8962077,9.229648,0.02687807,-0.042760566,0.062308256,-9.54,34.26,-26.34,0.2705448,0.47405192,-0.16998832,-0.07986,-0.08899,0.339428,10.401421999999998
1.6089035,-1.9632454,9.337387,0.02565634,-0.04886922,0.061086524,-9.719999,34.26,-26.64,0.15562311,0.40701428,-0.062249243,-0.07986,-0.08899,0.339428,9.719731
1.3575124,-2.267309,9.56723,0.062308256,-0.059864793,0.061086524,-9.179999,34.2,-26.34,-0.093373865,0.090979666,0.16280572,-0.07986,-0.08899,0.339428,10.076078
1.1923125,-2.3535004,9.919178,0.09040806,-0.09896017,0.04886922,-8.639999,34.26,-26.34,-0.25857377,0.0047884034,0.51475334,-0.07986,-0.08899,0.339428,10.034269
0.7589619,-2.267309,10.323798,0.080634214,-0.14172074,0.0061086523,-8.34,34.62,-26.699999,-0.6919243,0.07182605,0.91458505,-0.07986,-0.08899,0.339428,10.704846
0.4429273,-2.4420857,10.879252,0.058643065,-0.19425514,-0.02443461,-7.9199996,34.86,-26.46,-1.0079589,-0.10055647,1.4700398,-0.07986,-0.08899,0.339428,9.425039
0.2825158,-2.4636335,10.534488,0.08674286,-0.26389378,-0.056199603,-8.22,34.86,-27.0,-1.13964,-0.15083471,1.1133038,-0.089111,-0.081296,0.341827,11.711654
0.38307226,-2.5881321,9.94312,0.13439035,-0.2883284,-0.052534413,-8.46,34.98,-26.82,-1.0390835,-0.2753332,0.521936,-0.089111,-0.081296,0.341827,8.427653
0.7469909,-2.9281087,9.574412,0.15027285,-0.2761111,-0.035430185,-8.88,35.1,-27.06,-0.6440403,-0.6368576,0.1436521,-0.089111,-0.081296,0.341827,10.099577000000002
1.2234371,-2.8060043,9.370906,0.021991149,-0.28099802,0.0036651916,-9.12,34.86,-27.119999,-0.16519992,-0.51475334,-0.05746084,-0.089111,-0.081296,0.341827,10.038962000000001
1.3503298,-1.508347,9.002198,-0.24312437,-0.26267207,-0.004886922,-9.3,34.44,-26.4,-0.01436521,0.7757214,-0.4309563,-0.086882,-0.086516,0.342206,10.391999
0.9864111,-1.2473791,8.619126,-0.46670106,-0.23823744,0.04153884,-9.54,34.26,-26.039999,-0.37828386,1.0366893,-0.81402856,-0.086882,-0.086516,0.342206,9.728884
1.1492168,-1.8507179,8.161834,-0.39828414,-0.13561209,0.12217305,-9.78,34.38,-25.98,-0.17238252,0.45010993,-1.2737153,-0.086882,-0.086516,0.342206,10.083384
1.0989386,-1.8914193,7.1466923,-0.24801129,-0.019547688,0.2406809,-9.84,34.62,-25.74,-0.22266077,0.40940848,-2.291251,-0.086882,-0.086516,0.342206,10.033423999999998
1.2665327,-1.7477672,7.2352777,-0.2602286,0.07819075,0.2773328,-9.78,34.86,-25.68,-0.045489833,0.61291564,-2.1883004,-0.086882,-0.086516,0.342206,10.075192000000001
1.3742718,-1.2689269,7.467515,-0.3286455,0.14905111,0.2883284,-9.36,35.04,-25.859999,0.059855044,1.091756,-1.9560628,-0.086882,-0.086516,0.342206,10.043424
1.2641385,-1.2641385,7.587225,-0.35430184,0.21502456,0.31031954,-9.059999,35.579998,-25.5,-0.01436521,1.1324574,-1.8315643,-0.086479,-0.094291,0.346172,10.087692
1.2378023,-1.8770541,7.433996,-0.2724459,0.28099802,0.37384954,-9.059999,36.12,-26.16,-0.04070143,0.51954174,-1.9847932,-0.086479,-0.094291,0.346172,10.030077
1.3575124,-2.432509,7.666234,-0.2003638,0.3481932,0.42760566,-9.12,36.84,-26.279999,0.1316811,0.031124622,-1.7429788,-0.086479,-0.094291,0.346172,10.049039
1.42455,-2.4516625,8.075643,-0.21991149,0.39828414,0.4642576,-9.179999,37.26,-26.46,0.19871874,0.011971008,-1.3335704,-0.086479,-0.094291,0.346172,10.029692
1.2976574,-2.231396,8.334216,-0.3042109,0.39706242,0.47036624,-9.059999,36.78,-26.88,0.15562311,0.2753332,-1.0726024,-0.097748,-0.087574,0.355146,10.987846000000001
0.9624691,-2.2936451,8.394072,-0.42760566,0.3921755,0.4642576,-8.88,36.78,-26.939999,-0.17717093,0.21308395,-1.0127473,-0.097748,-0.087574,0.355146,9.131808000000001
1.0271125,-2.8203697,8.508993,-0.4447099,0.4007276,0.5009095,-8.5199995,36.66,-27.119999,-0.016759412,-0.24660277,-0.89303726,-0.097748,-0.087574,0.355146,12.540461999999998
1.0271125,-3.383007,8.686164,-0.453262,0.41416663,0.5290093,-8.5199995,36.66,-27.42,-0.016759412,-0.80924016,-0.7158663,-0.097748,-0.087574,0.355146,7.690960999999999
